"results__fsq_id","results__categories__id","results__categories__name","results__categories__icon__prefix","results__categories__icon__suffix","results__chains__id","results__chains__name","results__distance","results__geocodes__main__latitude","results__geocodes__main__longitude","results__geocodes__|","results__geocodes__|__latitude","results__geocodes__|__longitude","results__link","results__location__address","results__location__address_extended","results__location__census_block","results__location__country","results__location__cross_street","results__location__dma","results__location__formatted_address","results__location__locality","results__location__postcode","results__location__region","results__name","results__timezone","context__geo_bounds__circle__center__latitude","context__geo_bounds__circle__center__longitude","context__geo_bounds__circle__radius"
"528bf16711d2b7722da6b51c","13002","Bakery","https://ss3.4sqi.net/img/categories_v2/food/bakery_",".png","","","444","","","drop_off","40.710445","-74.007517","/v3/places/528bf16711d2b7722da6b51c","97 Nassau St","","360610015011017","US","at Ann St","New York","97 Nassau St (at Ann St), New York, NY 10038","New York","10038","NY","Pisillo Italian Cafe","America/New_York","40.7143528","-74.00597309999999","22000"
"","13035","Coffee Shop","https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_",".png","","","","","","main","40.710597","-74.007667","","","","","","","","","","","","","","","",""
"","13334","Sandwich Restaurant","https://ss3.4sqi.net/img/categories_v2/food/deli_",".png","","","","","","roof","40.710597","-74.007667","","","","","","","","","","","","","","","",""
"4fa862b3e4b0ebff2f749f06","13064","Pizzeria","https://ss3.4sqi.net/img/categories_v2/food/pizza_",".png","","","744","","","main","40.715256","-74.014835","/v3/places/4fa862b3e4b0ebff2f749f06","225 Murray St","","360610317033007","US","","New York","225 Murray St, New York, NY 10282","New York","10282","NY","Harry's Italian Pizza Bar","America/New_York","","",""
"","13236","Italian Restaurant","https://ss3.4sqi.net/img/categories_v2/food/italian_",".png","","","","","","roof","40.715256","-74.014835","","","","","","","","","","","","","","","",""
"4a4560a7f964a5201aa81fe3","13064","Pizzeria","https://ss3.4sqi.net/img/categories_v2/food/pizza_",".png","","","751","","","main","40.707324","-74.007057","/v3/places/4a4560a7f964a5201aa81fe3","2 Gold St","","360610015024001","US","at Maiden Ln.","New York","2 Gold St (at Maiden Ln.), New York, NY 10038","New York","10038","NY","Harry's Italian Pizza Bar","America/New_York","","",""
"","13236","Italian Restaurant","https://ss3.4sqi.net/img/categories_v2/food/italian_",".png","","","","","","roof","40.707324","-74.007057","","","","","","","","","","","","","","","",""
"44d091d5f964a52027361fe3","13236","Italian Restaurant","https://ss3.4sqi.net/img/categories_v2/food/italian_",".png","","","822","","","drop_off","40.707277","-74.002793","/v3/places/44d091d5f964a52027361fe3","140 Beekman St","","360610015013007","US","at Front St","New York","140 Beekman St (at Front St), New York, NY 10038","New York","10038","NY","Carmine's Italian Seafood","America/New_York","","",""
"","13338","Seafood Restaurant","https://ss3.4sqi.net/img/categories_v2/food/seafood_",".png","","","","","","main","40.70739","-74.002652","","","","","","","","","","","","","","","",""
"","","","","","","","","","","roof","40.70739","-74.002652","","","","","","","","","","","","","","","",""
"51a63ef7498e9eedb94e0c5f","13236","Italian Restaurant","https://ss3.4sqi.net/img/categories_v2/food/italian_",".png","","","931","","","drop_off","40.719576","-73.997201","/v3/places/51a63ef7498e9eedb94e0c5f","161 Mulberry St","Frnt 1","360610041005000","US","at Grand St.","New York","161 Mulberry St (at Grand St.), New York, NY 10013","New York","10013","NY","Italian Food Center","America/New_York","","",""
"","","","","","","","","","","main","40.719667","-73.997419","","","","","","","","","","","","","","","",""
"","","","","","","","","","","roof","40.719667","-73.997419","","","","","","","","","","","","","","","",""
"4b687882f964a520a67a2be3","13236","Italian Restaurant","https://ss3.4sqi.net/img/categories_v2/food/italian_",".png","","","1042","","","main","40.705179","-74.008587","/v3/places/4b687882f964a520a67a2be3","82 Beaver St","","360610007006001","US","","New York","82 Beaver St, New York, NY 10005","New York","10005","NY","Fino Ristorante Italiano","America/New_York","","",""
"","","","","","","","","","","roof","40.705179","-74.008587","","","","","","","","","","","","","","","",""
"4e4c4e62bd413c4cc6686059","13064","Pizzeria","https://ss3.4sqi.net/img/categories_v2/food/pizza_",".png","","","1300","40.703251","-74.011015","","","","/v3/places/4e4c4e62bd413c4cc6686059","30 Water St","","360610009001015","US","","New York","30 Water St, New York, NJ 10004","New York","10004","NJ","Carmela's Italian Specialties","America/New_York","","",""
"","13236","Italian Restaurant","https://ss3.4sqi.net/img/categories_v2/food/italian_",".png","","","","","","","","","","","","","","","","","","","","","","","",""
"5c52748435d3fc002cc413c9","13046","Ice Cream Parlor","https://ss3.4sqi.net/img/categories_v2/food/icecream_",".png","9632dc81-7fb6-4833-84f0-539bf06a7657","Rita's Italian Ice","1454","","","main","40.701845","-74.012207","/v3/places/5c52748435d3fc002cc413c9","4 South St","","360610009001020","US","","New York","4 South St, New York, NY 10004","New York","10004","NY","Rita's Italian Ice & Frozen Custard","America/New_York","","",""
"","13065","Restaurant","https://ss3.4sqi.net/img/categories_v2/food/default_",".png","","","","","","roof","40.701845","-74.012207","","","","","","","","","","","","","","","",""
"53c86025498ee05447aae1be","13236","Italian Restaurant","https://ss3.4sqi.net/img/categories_v2/food/italian_",".png","","","1574","","","main","40.720953","-73.989787","/v3/places/53c86025498ee05447aae1be","157 Allen St","","360610036011001","US","","New York","157 Allen St, New York, NY 10002","New York","10002","NY","Roman's Italian Delicatessen","America/New_York","","",""
"","","","","","","","","","","roof","40.720953","-73.989787","","","","","","","","","","","","","","","",""
"58dd8ac3a8b75966fda9a547","13025","Wine Bar","https://ss3.4sqi.net/img/categories_v2/food/winery_",".png","","","2127","","","drop_off","40.726587","-73.986596","/v3/places/58dd8ac3a8b75966fda9a547","345 E 6th St","","360610038006000","US","1st and 2nd Ave","New York","345 E 6th St (1st and 2nd Ave), New York, NY 10003","New York","10003","NY","Tableside Italian Cook Shoppe","America/New_York","","",""
"","13236","Italian Restaurant","https://ss3.4sqi.net/img/categories_v2/food/italian_",".png","","","","","","main","40.726759","-73.986523","","","","","","","","","","","","","","","",""
"","13302","Mediterranean Restaurant","https://ss3.4sqi.net/img/categories_v2/food/mediterranean_",".png","","","","","","roof","40.726759","-73.986523","","","","","","","","","","","","","","","",""
